from,to,relation,duration,status,health
spahn,dfk,3,1,1,2
spahn,dbu,3,1,1,2
spahn,jga,3,1,1,1
spahn,kulturstiftungdesbundes,3,1,1,2
spahn,stiftunghumanitaerehilfe,3,1,1,1
spahn,pareton,2,1,2,2
spahn,politas,2,2,2,1
spahn,sparkassewestmuensterland,2,2,2,1
spahn,bmg,1,2,1,1
spahn,comline,5,1,2,2
spahn,dkg,5,1,2,1
spahn,medapharma,5,1,2,1
spahn,facetoface,5,1,2,1
spahn,unikreditbank,5,1,2,2
gebhart,basf,1,1,2,1
gebhart,europauniondeutschland,2,99,99,2
gebhart,bmg,1,2,1,1
ludwig,fortschrittrosenheim,3,99,1,1
ludwig,bayerischesroteskreuz,3,99,1,1
ludwig,bmg,1,99,1,1
ludwig,petoekindergartenrosenheim,3,99,1,2
ludwig,foerdervereinkinderklinikrosenheim,3,99,1,1
ludwig,bkf,3,99,1,1
ludwig,pflegestiftungmeltl,3,99,1,1
ludwig,donumvitaerosenheim,3,99,1,2
ludwig,bundesstiftungbaukultur,4,99,1,2
weiss,pangasinan,3,6,1,2
weiss,bmg,1,2,1,1
steffen,bmg,1,2,1,1
steffen,bmwi,1,1,2,2
steffen,bmf,1,2,2,2
steffen,bafin,4,3,2,2
westerfellhaus,bmg,1,2,1,1
westerfellhaus,deutscherpflegerat,4,6,2,1
westerfellhaus,zab,1,6,2,1
westerfellhaus,westfealischenklinik,1,3,2,1
schmidtke,eacts,99,99,99,1
schmidtke,dgthg,99,99,99,1
schmidtke,dgesgm,99,99,99,1
schmidtke,segebergerkliniken ,2,99,2,1
schmidtke,bmg,1,2,1,1
schmidtke,muk,2,99,99,2
